,identifier/obPropId,LotSizeAcres,address/oneLine,address/postal1,location/latitude,location/longitude,location/distance,summary/propclass,summary/propsubtype,summary/yearbuilt,building/size/universalsize,building/rooms/bathstotal,building/rooms/beds,sale/amount/saleamt,sale/amount/salerecdate,sale/amount/saletranstype,sale/calculation/priceperbed,sale/calculation/pricepersizeunit
7538,18314800000000.0,0.1469,"163 E MAIN ST, NORWALK, OH 44857",44857,41.247384000000004,-82.605248,41.44,Single Family Residence / Townhouse,HOUSE,1910,1780,2.0,4,102000,2018-12-21,Resale,25500,57
4031,18264000000000.0,0.1871,"1388 CHIPPEWA AVE, AKRON, OH 44305",44305,41.075268,-81.471052,32.05,Single Family Residence / Townhouse,RESIDENTIAL,1919,1704,2.0,2,68000,2018-12-20,Resale,34000,40
1941,423488000000.0,0.5162,"2809 COLUMBUS RD NE, CANTON, OH 44705",44705,40.838234,-81.333772,49.56,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1954,1204,2.0,3,110000,2018-12-20,Resale,36667,91
7129,3712300000000.0,0.2768,"2590 NORTON RD, STOW, OH 44224",44224,41.202754,-81.401786,28.56,Single Family Residence / Townhouse,RESIDENTIAL,1977,1600,3.0,4,175000,2018-12-20,Resale,43750,109
7746,2774860000000.0,0.46399999999999997,"1895 SPRINGSIDE CIR, STREETSBORO, OH 44241",44241,41.266757,-81.324536,29.88,Single Family Residence / Townhouse,RESIDENTIAL,2008,2868,3.0,4,310000,2018-12-20,Resale,77500,108
9568,14917700000000.0,0.4855,"4979 W MILL RD, BROADVIEW HEIGHTS, OH 44147",44147,41.341251,-81.650851,12.46,Single Family Residence / Townhouse,RESIDENTIAL,1959,1376,1.0,3,235000,2018-12-20,Resale,78333,171
1959,18255300000000.0,0.4304,"3825 MIDDLEBRANCH AVE NE, CANTON, OH 44705",44705,40.83983,-81.346484,49.11,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1953,1079,2.0,3,107900,2018-12-19,Resale,35967,100
6089,1890990000000.0,0.3489,"2822 OUTLOOK DR, SILVER LAKE, OH 44224",44224,41.147833,-81.461726,28.61,Single Family Residence / Townhouse,RESIDENTIAL,1961,1592,3.0,3,175000,2018-12-19,Resale,58333,110
4363,18272200000000.0,2.0,"13159 DOYLESTOWN RD, RITTMAN, OH 44270",44270,40.973593,-81.744573,32.71,Single Family Residence / Townhouse,RESIDENTIAL,1957,816,1.0,3,138000,2018-12-19,Resale,46000,169
4597,18263400000000.0,0.1715,"1668 CHAPMAN DR, AKRON, OH 44305",44305,41.0879,-81.460247,31.72,Single Family Residence / Townhouse,RESIDENTIAL,1959,988,1.0,3,70400,2018-12-19,Resale,23467,71
5790,365597000000.0,0.1515,"1837 FALLS AVE, CUYAHOGA FALLS, OH 44223",44223,41.133045,-81.505093,27.83,Single Family Residence / Townhouse,RESIDENTIAL,1940,1288,1.0,3,132000,2018-12-19,Resale,44000,102
1829,18355600000000.0,0.109,"920 S VINE ST, ORRVILLE, OH 44667",44667,40.829315,-81.765875,42.42,Single Family Residence / Townhouse,RESIDENTIAL,1952,1404,2.0,2,120000,2018-12-18,Resale,60000,85
8861,2355800000000.0,0.1917,"510 SCHILLER AVE, AKRON, OH 44310",44310,41.099167,-81.514234,29.37,Single Family Residence / Townhouse,RESIDENTIAL,1908,2040,2.0,3,42000,2018-12-18,Resale,14000,21
1314,18212400000000.0,0.955,"5007 EMALENE RD, WOOSTER, OH 44691",44691,40.860233,-81.926725,40.25,Single Family Residence / Townhouse,RESIDENTIAL,1993,2027,3.0,3,202000,2018-12-17,Resale,67333,100
7695,18329400000000.0,0.2951,"4919 EMERALD LN, BRUNSWICK, OH 44212",44212,41.263349,-81.86289000000001,12.26,Single Family Residence / Townhouse,HOUSE,1992,2452,3.0,4,260000,2018-12-17,Resale,65000,106
6622,18330000000000.0,4.02,"2244 GRANGER RD, MEDINA, OH 44256",44256,41.155527,-81.759781,20.24,Single Family Residence / Townhouse,HOUSE,1971,2032,2.0,4,235000,2018-12-17,Resale,58750,116
7787,18200900000000.0,0.2014,"124 WEST AVE, MOGADORE, OH 44260",44260,41.053971000000004,-81.38646700000001,36.02,Single Family Residence / Townhouse,RESIDENTIAL,1960,1176,1.0,3,120000,2018-12-14,Resale,40000,102
9636,14154400000000.0,0.3673,"2182 WHITE MARSH DR, TWINSBURG, OH 44087",44087,41.345455,-81.44537199999999,22.07,Single Family Residence / Townhouse,RESIDENTIAL,1993,2280,3.0,4,26000,2018-12-14,Resale,6500,11
6959,18344800000000.0,10.38,"3467 RIDGE RD, MEDINA, OH 44256",44256,41.181611,-81.741742,18.76,Single Family Residence / Townhouse,HOUSE,1958,5318,6.0,4,434000,2018-12-14,Resale,108500,82
564,5447240000000.0,0.1228,"327 8TH ST SE, MASSILLON, OH 44646",44646,40.7944,-81.514404,47.93,Single Family Residence / Townhouse,HOUSE,1885,1692,2.0,3,89900,2018-12-14,Resale,29967,53
3282,3712640000000.0,0.25,"806 ARCHWOOD RD, WADSWORTH, OH 44281",44281,41.028293,-81.705258,29.45,Single Family Residence / Townhouse,HOUSE,2003,2596,3.0,3,292500,2018-12-14,Resale,97500,113
2474,18337100000000.0,0.6315,"2066 MOLER DR, AKRON, OH 44312",44312,40.988803000000004,-81.446387,37.64,Single Family Residence / Townhouse,RESIDENTIAL,1954,1200,1.0,3,81000,2018-12-14,Resale,27000,68
2658,14495600000000.0,0.2755,"741 E STATE ST, BARBERTON, OH 44203",44203,41.012339000000004,-81.57157600000001,32.95,Single Family Residence / Townhouse,RESIDENTIAL,1955,1044,1.0,3,121500,2018-12-13,Resale,40500,116
522,2211610000000.0,0.1331,"1312 DELAWARE AVE SW, CANTON, OH 44710",44710,40.789289000000004,-81.445004,49.69,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1926,1314,2.0,3,99000,2018-12-13,Resale,33000,75
372,2607780000000.0,0.1403,"1022 2ND ST NE, MASSILLON, OH 44646",44646,40.809225,-81.522439,46.83,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1941,1480,1.0,3,98900,2018-12-13,Resale,32967,66
4935,2269730000000.0,0.2101,"64 CASTLE BLVD, AKRON, OH 44313",44313,41.107619,-81.56169200000001,27.48,Single Family Residence / Townhouse,RESIDENTIAL,1941,2406,2.0,3,209900,2018-12-12,Resale,69967,87
3216,14117200000000.0,0.3329,"2255 ROHRER ST NW, NORTH CANTON, OH 44720",44720,40.905114000000005,-81.38619200000001,44.19,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1989,2704,4.0,4,284900,2018-12-12,Resale,71225,105
9747,18305500000000.0,2.36,"19185 RUTLAND RD, GARRETTSVILLE, OH 44231",44231,41.351084,-81.058776,41.62,Single Family Residence / Townhouse,RESIDENTIAL,1978,1248,2.0,3,147000,2018-12-12,Resale,49000,118
4415,18271700000000.0,18.419,"8761 W WEST SALEM RD, WEST SALEM, OH 44287",44287,40.981621999999994,-82.09158000000001,34.07,Single Family Residence / Townhouse,RESIDENTIAL,1979,1186,1.0,3,50000,2018-12-12,Resale,16667,42
1026,18273400000000.0,0.3099,"920 NORTHVIEW DR, WOOSTER, OH 44691",44691,40.831515,-81.927656,42.23,Single Family Residence / Townhouse,RESIDENTIAL,1951,1346,2.0,3,127500,2018-12-10,Resale,42500,95
8609,1938070000000.0,0.1553,"531 FERNWOOD DR, AKRON, OH 44320",44320,41.083555,-81.545022,29.34,Single Family Residence / Townhouse,RESIDENTIAL,1920,1288,1.0,3,25370,2018-12-10,Resale,8457,20
7499,18285900000000.0,1.0190000000000001,"6546 CHESTWICK LN, HUDSON, OH 44236",44236,41.246179999999995,-81.45059,24.77,Single Family Residence / Townhouse,RESIDENTIAL,2013,5200,7.0,4,1430000,2018-12-10,Resale,357500,275
5535,5380370000000.0,2.0,"9340 AVON LAKE RD, LODI, OH 44254",44254,41.018307,-81.996112,30.12,Single Family Residence / Townhouse,HOUSE,1971,1176,1.0,3,147500,2018-12-07,Resale,49167,125
5722,290511000000.0,0.1102,"40 W LINWOOD AVE, AKRON, OH 44301",44301,41.031675,-81.528335,32.85,Single Family Residence / Townhouse,RESIDENTIAL,1939,1128,1.0,3,63000,2018-12-07,Resale,21000,56
3897,1712080000000.0,0.1412,"1344 PONTIAC AVE, AKRON, OH 44307",44307,41.06588,-81.556043,30.08,Single Family Residence / Townhouse,RESIDENTIAL,1957,960,1.0,3,22000,2018-12-06,REO (Transfer to Lender),7333,23
2342,18259000000000.0,0.2462,"6120 KUNGLE RD, NEW FRANKLIN, OH 44216",44216,40.971812,-81.638378,34.2,Single Family Residence / Townhouse,RESIDENTIAL,1948,1105,1.0,2,150000,2018-12-05,Resale,75000,136
2606,2989560000000.0,1.0285,"1959 BRIDGER RD, AKRON, OH 44312",44312,41.007177,-81.453313,36.39,Single Family Residence / Townhouse,RESIDENTIAL,1954,1263,1.0,3,125000,2018-12-05,Resale,41667,99
3694,14395100000000.0,0.2841,"1010 CLARK RD, WADSWORTH, OH 44281",44281,41.050937,-81.73609,27.55,Single Family Residence / Townhouse,HOUSE,1978,1104,1.0,3,57000,2018-12-05,Resale,19000,52
1832,18354000000000.0,0.462,"244 E HIGHLAND AVE, WOOSTER, OH 44691",44691,40.828747,-81.938451,42.48,Single Family Residence / Townhouse,RESIDENTIAL,1953,1648,2.0,3,189000,2018-12-04,Resale,63000,115
7123,14317800000000.0,2.617,"7940 STATE ROUTE 88, RAVENNA, OH 44266",44266,41.205318,-81.187698,38.13,Single Family Residence / Townhouse,RESIDENTIAL,2006,1600,2.0,3,120000,2018-12-04,Nominal - Non/Arms Length Sale,40000,75
30,18256600000000.0,1.17,"3695 PIGEON RUN RD SW, MASSILLON, OH 44647",44647,40.756396,-81.56115799999999,49.58,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1960,1636,1.0,3,165500,2018-12-04,Resale,55167,101
2768,18261700000000.0,0.075,"1169 BRITTANY BLVD, AKRON, OH 44312",44312,41.021865000000005,-81.414074,36.79,Single Family Residence / Townhouse,RESIDENTIAL,2005,1694,3.0,3,136500,2018-12-03,Resale,45500,81
9551,767236000000.0,0.2847,"22197 BEECH CREEK TRL, STRONGSVILLE, OH 44149",44149,41.340498,-81.869483,6.98,Single Family Residence / Townhouse,RESIDENTIAL,1979,2270,2.0,3,180000,2018-12-03,Resale,60000,79
5085,5047110000000.0,0.5177,"3934 STONEBRIDGE BLVD, COPLEY, OH 44321",44321,41.116074,-81.660236,24.5,Single Family Residence / Townhouse,RESIDENTIAL,1999,3731,3.0,4,460000,2018-12-03,Resale,115000,123
1540,18255300000000.0,0.3444,"7180 STARCLIFF AVE NW, NORTH CANTON, OH 44720",44720,40.891978,-81.39056500000001,44.83,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1970,2175,2.0,3,152000,2018-12-03,Resale,50667,70
6834,18329600000000.0,0.31,"3922 BOXELDER DR, MEDINA, OH 44256",44256,41.169614,-81.874662,18.75,Single Family Residence / Townhouse,HOUSE,1994,1839,3.0,3,222500,2018-12-03,Resale,74167,121
3195,15170100000000.0,1.0,"8320 WESTON PLACE AVE NW, NORTH CANTON, OH 44720",44720,40.901067,-81.484941,41.84,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,2004,7168,6.0,4,1310000,2018-11-30,Resale,327500,183
8189,1352240000000.0,1.0475,"7092 COLESBROOK DR, HUDSON, OH 44236",44236,41.269047,-81.493884,22.02,Single Family Residence / Townhouse,RESIDENTIAL,1997,3210,4.0,4,445000,2018-11-30,Resale,111250,139
2690,18261600000000.0,0.932,"1362 KRUMROY RD, AKRON, OH 44306",44306,41.015213,-81.475512,35.28,Single Family Residence / Townhouse,RESIDENTIAL,1950,1080,1.0,3,132000,2018-11-30,Resale,44000,122
7974,14034000000000.0,0.0964,"1406 SARA AVE, AKRON, OH 44305",44305,41.066819,-81.472758,32.46,Single Family Residence / Townhouse,RESIDENTIAL,1916,1056,1.0,3,9000,2018-11-30,Resale,3000,9
3081,24581900000000.0,0.1615,"7047 EMERALD COVE AVE NW, CANAL FULTON, OH 44614",44614,40.883386,-81.531521,41.91,Single Family Residence / Townhouse,HOUSE,2014,1710,3.0,3,222000,2018-11-30,Resale,74000,130
7857,1436270000000.0,0.1607,"99 HILLMAN RD, AKRON, OH 44312",44312,41.058492,-81.45689399999999,33.42,Single Family Residence / Townhouse,RESIDENTIAL,1959,1120,1.0,3,30720,2018-11-29,Nominal - Non/Arms Length Sale,10240,27
1756,18251500000000.0,0.2955,"2023 VINETTE PL NE, MASSILLON, OH 44646",44646,40.821451,-81.512403,46.24,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1958,1232,2.0,2,160000,2018-11-29,Resale,80000,132
5924,18259500000000.0,0.1769,"2316 PROVIDENCE BLVD, CUYAHOGA FALLS, OH 44221",44221,41.139425,-81.458996,29.13,Single Family Residence / Townhouse,RESIDENTIAL,1979,1636,2.0,2,145000,2018-11-29,Resale,72500,89
1849,14177900000000.0,0.1316,"1631 30TH ST NE, CANTON, OH 44714",44714,40.830771,-81.354548,49.42,Single Family Residence / Townhouse,HOUSE,1926,1184,2.0,3,72000,2018-11-28,Resale,24000,61
7568,15140000000000.0,15.463,"8164 GOTHAM RD, GARRETTSVILLE, OH 44231",44231,41.250251,-81.096313,41.38,Single Family Residence / Townhouse,RESIDENTIAL,1996,1848,2.0,3,160000,2018-11-28,Resale,53333,87
6293,18329500000000.0,5.0,"3630 CANDACE CT, WADSWORTH, OH 44281",44281,41.040375,-81.818505,27.68,Single Family Residence / Townhouse,HOUSE,2000,2219,3.0,5,319000,2018-11-28,Resale,63800,144
3365,18259000000000.0,0.25,"3 W UNION ST, GREENWICH, OH 44837",44837,41.033023,-82.517009,44.67,Single Family Residence / Townhouse,HOUSE,0,1155,1.0,1,85000,2018-11-28,Resale,85000,74
969,18251600000000.0,0.4132,"2953 WILDRIDGE DR NW, MASSILLON, OH 44646",44646,40.824707000000004,-81.49724599999999,46.34,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1989,2802,3.0,4,160000,2018-11-28,Resale,40000,57
3147,2623980000000.0,0.1538,"316 LOCUST ST N, CANAL FULTON, OH 44614",44614,40.892644,-81.59719399999999,40.07,Single Family Residence / Townhouse,HOUSE,1900,1115,2.0,3,3695,2018-11-27,Resale,1232,3
1684,18253100000000.0,0.3196,"4620 16TH ST NW, CANTON, OH 44708",44708,40.815768,-81.430817,48.37,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1949,1560,2.0,3,108400,2018-11-27,Resale,36133,69
8794,18336200000000.0,4.21,"3830 STATE ROUTE 44, ROOTSTOWN, OH 44272",44272,41.093368,-81.24252800000001,39.72,Single Family Residence / Townhouse,RESIDENTIAL,1840,3000,2.0,4,334000,2018-11-27,Resale,83500,111
3015,18253300000000.0,0.9152,"6314 OAKCREST AVE NW, CANTON, OH 44718",44718,40.876968,-81.45612,44.01,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1957,1632,2.0,3,30000,2018-11-27,Resale,10000,18
6686,1087760000000.0,0.2663,"170 CLINTON ST, RAVENNA, OH 44266",44266,41.15974,-81.237176,37.36,Single Family Residence / Townhouse,RESIDENTIAL,1890,1916,3.0,5,85000,2018-11-27,Resale,21250,44
9079,18221700000000.0,0.617,"21708 ROYALTON RD, STRONGSVILLE, OH 44149",44149,41.312515000000005,-81.86425200000001,8.87,Single Family Residence / Townhouse,RESIDENTIAL,1956,1350,1.0,3,155000,2018-11-21,Resale,51667,115
3699,14492900000000.0,0.1047,"125 KREINER AVE, AKRON, OH 44312",44312,41.050461999999996,-81.421768,35.0,Single Family Residence / Townhouse,RESIDENTIAL,1961,1584,2.0,4,127000,2018-11-21,Resale,31750,80
2258,18259800000000.0,0.2904,"4884 BARRYMORE AVE, NEW FRANKLIN, OH 44319",44319,40.961087,-81.542682,36.79,Single Family Residence / Townhouse,RESIDENTIAL,1943,1586,2.0,3,169900,2018-11-21,Resale,56633,107
870,14724500000000.0,0.3142,"1721 JOLYNN ST NE, MASSILLON, OH 44646",44646,40.816674,-81.519931,46.4,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1963,1382,3.0,3,148000,2018-11-21,Resale,49333,107
8194,18249500000000.0,0.2927,"3974 SKYVIEW DR, BRUNSWICK, OH 44212",44212,41.27248,-81.833298,11.65,Single Family Residence / Townhouse,HOUSE,1970,1936,3.0,4,208000,2018-11-21,Resale,52000,107
3079,14154300000000.0,0.4167,"1778 WOODTHRUSH ST NE, CANTON, OH 44721",44721,40.882082000000004,-81.348569,46.61,Single Family Residence / Townhouse,HOUSE,2005,2758,4.0,5,342000,2018-11-21,Resale,114000,124
8425,18229600000000.0,0.2493,"17627 DRAKE RD, STRONGSVILLE, OH 44136",44136,41.290281,-81.82474599999999,10.47,Single Family Residence / Townhouse,RESIDENTIAL,1982,1528,3.0,2,145000,2018-11-21,Resale,72500,95
9866,14307400000000.0,0.1584,"657 ECTON RD, AKRON, OH 44303",44303,41.108467,-81.53912,28.09,Single Family Residence / Townhouse,RESIDENTIAL,1929,1656,2.0,4,159250,2018-11-21,Resale,39813,96
6019,5359320000000.0,0.10099999999999999,"2530 WHITELAW ST, CUYAHOGA FALLS, OH 44221",44221,41.143504,-81.485698,27.96,Single Family Residence / Townhouse,RESIDENTIAL,1926,1404,1.0,3,101000,2018-11-21,Resale,33667,72
8012,18263400000000.0,0.1047,"500 RENTSCHLER ST, AKRON, OH 44304",44304,41.069697,-81.515857,30.98,Single Family Residence / Townhouse,RESIDENTIAL,1909,1297,1.0,3,53500,2018-11-20,Resale,17833,41
3393,15147200000000.0,0.1908,"179 EUCLID AVE, WADSWORTH, OH 44281",44281,41.035284000000004,-81.72940899999999,28.68,Single Family Residence / Townhouse,HOUSE,1940,1097,1.0,2,65000,2018-11-20,Resale,32500,59
3639,15509400000000.0,0.1176,"1434 MARCY ST, AKRON, OH 44301",44301,41.047977,-81.520904,32.09,Single Family Residence / Townhouse,RESIDENTIAL,0,0,0.0,0,13000,2018-11-20,Resale,0,0
546,895184000000.0,0.2497,"2526 DUANE AVE NW, MASSILLON, OH 44647",44647,40.792357,-81.55612099999999,47.31,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1961,884,1.0,2,90000,2018-11-19,Resale,45000,102
5880,18259400000000.0,0.124,"2217 8TH ST, CUYAHOGA FALLS, OH 44221",44221,41.13705,-81.49303499999999,28.04,Single Family Residence / Townhouse,RESIDENTIAL,1952,1075,2.0,3,104580,2018-11-19,Resale,34860,97
9195,4690510000000.0,0.4706,"1748 MAPLEGROVE DR, TWINSBURG, OH 44087",44087,41.316631,-81.477602,21.21,Single Family Residence / Townhouse,RESIDENTIAL,2001,2238,3.0,4,309900,2018-11-16,Resale,77475,138
264,1981470000000.0,0.1129,"2612 ROSEWOOD PL NW, CANTON, OH 44708",44708,40.801658,-81.403728,49.89,Single Family Residence / Townhouse,HOUSE,1916,1554,1.0,3,22100,2018-11-16,Resale,7367,14
6082,4557050000000.0,1.53,"570 ROTUNDA AVE, AKRON, OH 44333",44333,41.147411,-81.620421,23.53,Single Family Residence / Townhouse,RESIDENTIAL,1960,3117,3.0,3,300000,2018-11-16,Resale,100000,96
6517,2332970000000.0,2.01,"8206 WILHITE DR, WADSWORTH, OH 44281",44281,41.049944,-81.706652,27.99,Single Family Residence / Townhouse,HOUSE,1991,3563,4.0,3,380000,2018-11-16,Resale,126667,107
4617,5256810000000.0,0.1102,"598 GLENDORA AVE, AKRON, OH 44320",44320,41.089433,-81.561562,28.54,Single Family Residence / Townhouse,RESIDENTIAL,1926,1571,2.0,3,8750,2018-11-16,Resale,2917,6
3515,4067470000000.0,0.1694,"606 STEVENSON AVE, AKRON, OH 44312",44312,41.042375,-81.431832,35.1,Single Family Residence / Townhouse,RESIDENTIAL,1957,1080,1.0,3,92000,2018-11-16,Resale,30667,85
2830,173726000000.0,0.1322,"1171 SUTHERLAND AVE, AKRON, OH 44314",44314,41.026677,-81.570428,32.09,Single Family Residence / Townhouse,RESIDENTIAL,1957,936,1.0,3,65000,2018-11-16,Resale,21667,69
5312,2459690000000.0,0.2397,"454 W PARK BLVD, MEDINA, OH 44256",44256,41.128303,-81.87182299999999,21.59,Single Family Residence / Townhouse,HOUSE,1956,816,1.0,3,125900,2018-11-16,Resale,41967,154
7973,838114000000.0,0.1598,"154 RUCKEL RD, AKRON, OH 44305",44305,41.066784999999996,-81.468734,32.59,Single Family Residence / Townhouse,RESIDENTIAL,1925,1171,1.0,2,78000,2018-11-16,Resale,39000,67
6347,1796890000000.0,0.1281,"1049 REED AVE, AKRON, OH 44306",44306,41.042957,-81.48908399999999,33.29,Single Family Residence / Townhouse,RESIDENTIAL,1957,850,1.0,2,55000,2018-11-15,Resale,27500,65
4489,18261100000000.0,0.7277,"3755 EASTERN RD, NORTON, OH 44203",44203,40.988687,-81.660995,32.72,Single Family Residence / Townhouse,RESIDENTIAL,1963,1225,2.0,3,78750,2018-11-15,Nominal - Non/Arms Length Sale,26250,64
1381,18203600000000.0,0.0907,"229 PEARL PL SE, NORTH CANTON, OH 44720",44720,40.871933,-81.398983,45.78,Single Family Residence / Townhouse,HOUSE,1923,998,1.0,3,80000,2018-11-15,Resale,26667,80
3788,64445239153.0,0.0937,"746 KIPLING ST, AKRON, OH 44306",44306,41.05726,-81.50204000000001,32.1,Single Family Residence / Townhouse,RESIDENTIAL,1914,1156,1.0,3,22600,2018-11-15,Nominal - Non/Arms Length Sale,7533,20
6027,4586090000000.0,0.16,"364 ABBEYVILLE RD, MEDINA, OH 44256",44256,41.144264,-81.892763,20.57,Single Family Residence / Townhouse,HOUSE,1996,1465,1.0,3,162500,2018-11-15,Resale,54167,111
756,18248800000000.0,0.0788,"820 CLARENDON AVE NW, CANTON, OH 44708",44708,40.806405,-81.403109,49.62,Single Family Residence / Townhouse,HOUSE,1918,1288,1.0,3,11900,2018-11-15,Resale,3967,9
8249,18329500000000.0,0.4591,"244 BOSTON RD, HINCKLEY, OH 44233",44233,41.276947,-81.693595,13.95,Single Family Residence / Townhouse,HOUSE,1958,1580,1.0,3,119000,2018-11-14,Resale,39667,75
3157,194160000000.0,0.3444,"9668 HOCKING ST NW, MASSILLON, OH 44646",44646,40.893076,-81.529403,41.34,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1987,1802,3.0,4,204900,2018-11-14,Resale,51225,114
3776,173785000000.0,0.1288,"273 E MILLER AVE, AKRON, OH 44311",44311,41.05641,-81.519025,31.65,Single Family Residence / Townhouse,RESIDENTIAL,1916,1538,2.0,2,50900,2018-11-13,Resale,25450,33
4330,24538200000000.0,0.4824,"564 GLENBERRY AVE NE, HARTVILLE, OH 44632",44632,40.967994,-81.314607,42.96,Single Family Residence / Townhouse,RESIDENTIAL,2016,2271,3.0,4,330000,2018-11-13,Resale,82500,145
4389,18202300000000.0,0.9102,"8056 ALLEN DR NE, ALLIANCE, OH 44601",44601,40.97579,-81.24201,45.12,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1952,1560,1.0,2,125000,2018-11-09,Resale,62500,96
1195,18257200000000.0,0.1882,"2432 45TH ST NW, CANTON, OH 44709",44709,40.847636,-81.398538,47.24,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1960,792,1.0,2,89900,2018-11-09,Resale,44950,114
9842,18242600000000.0,2.81,"1198 STATE ROUTE 61 S, MONROEVILLE, OH 44847",44847,41.107341999999996,-82.66006800000001,48.0,Single Family Residence / Townhouse,HOUSE,1976,1829,2.0,3,179900,2018-11-09,Resale,59967,98
8636,2176080000000.0,0.1377,"255 S BALCH ST, AKRON, OH 44302",44302,41.085659,-81.533666,29.55,Single Family Residence / Townhouse,RESIDENTIAL,1914,1695,1.0,3,65000,2018-11-09,Nominal - Non/Arms Length Sale,21667,38
8824,14085500000000.0,0.2617,"258 DORCHESTER RD, AKRON, OH 44313",44313,41.096948,-81.560316,28.14,Single Family Residence / Townhouse,RESIDENTIAL,1947,1996,3.0,4,190000,2018-11-09,Resale,47500,95
170,2724930000000.0,0.2163,"378 25TH ST NW, MASSILLON, OH 44647",44647,40.794775,-81.554376,47.18,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1947,1549,1.0,3,75000,2018-11-09,Resale,25000,48
418,18211300000000.0,0.971,"12990 EMERSON RD, APPLE CREEK, OH 44606",44606,40.741347,-81.748187,48.56,Single Family Residence / Townhouse,RESIDENTIAL,1919,1427,2.0,4,170000,2018-11-09,Resale,42500,119
1767,18249700000000.0,0.1882,"1007 23RD ST NW, CANTON, OH 44709",44709,40.823226,-81.38150999999999,49.15,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1925,2046,2.0,3,95500,2018-11-08,Resale,31833,47
7291,18316200000000.0,0.2,"61 STOUTENBURG DR, NORWALK, OH 44857",44857,41.23344,-82.614207,42.2,Single Family Residence / Townhouse,HOUSE,1958,1200,1.0,3,67500,2018-11-08,Resale,22500,56
4462,18259000000000.0,0.1148,"3859 S TURKEYFOOT RD, NEW FRANKLIN, OH 44319",44319,40.98594,-81.53407800000001,35.46,Single Family Residence / Townhouse,RESIDENTIAL,1930,849,2.0,2,28000,2018-11-08,REO (Transfer to Lender),14000,33
4105,20940000000000.0,5.0,"9273 BEESON ST NE, LOUISVILLE, OH 44641",44641,40.927228,-81.22193,48.28,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,2010,1050,1.0,2,169500,2018-11-08,Resale,84750,161
3159,2300470000000.0,0.2066,"953 LIBERTY LN NW, NORTH CANTON, OH 44720",44720,40.893537,-81.417204,44.01,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1987,1170,3.0,3,133000,2018-11-06,Resale,44333,114
221,18211200000000.0,0.1403,"12 MILL ST S, DALTON, OH 44618",44618,40.798724,-81.694728,45.04,Single Family Residence / Townhouse,RESIDENTIAL,1920,0,0.0,0,100000,2018-11-06,Resale,0,0
644,18257100000000.0,0.2388,"4984 2ND ST NW, CANTON, OH 44708",44708,40.800371000000005,-81.442396,49.06,Single Family Residence / Townhouse,MISCELLANEOUS INDUSTRIAL,1951,1176,2.0,2,70000,2018-11-05,Resale,35000,60
1292,18272400000000.0,0.4307,"2360 E SMITHVILLE WESTERN RD, WOOSTER, OH 44691",44691,40.857781,-81.91680699999999,40.37,Single Family Residence / Townhouse,RESIDENTIAL,1957,1484,1.0,2,162900,2018-11-05,Resale,81450,110
6713,1032010000000.0,1.78,"4511 RANCHWOOD RD, AKRON, OH 44333",44333,41.160678999999995,-81.672124,21.45,Single Family Residence / Townhouse,RESIDENTIAL,1962,2056,2.0,3,285000,2018-11-02,Resale,95000,139
3189,32482600000000.0,0.4591,"7553 SOUTHRIDGE CIR NW, NORTH CANTON, OH 44720",44720,40.89997,-81.42956,43.3,Single Family Residence / Townhouse,HOUSE,2018,2494,3.0,4,498500,2018-11-02,New Construction,0,0
209,4128790000000.0,1.34,"205 N BAUER RD, WOOSTER, OH 44691",44691,40.798014,-81.919371,44.49,Single Family Residence / Townhouse,RESIDENTIAL,1930,1884,3.0,5,56000,2018-11-02,Resale,11200,30
6104,24273800000000.0,0.0838,"2824 OAKWOOD DR, CUYAHOGA FALLS, OH 44221",44221,41.149392,-81.488716,27.56,Single Family Residence / Townhouse,RESIDENTIAL,0,0,0.0,0,65000,2018-11-02,Resale,0,0
2735,18342100000000.0,0.1894,"1575 HILBISH AVE, AKRON, OH 44312",44312,41.019290000000005,-81.45416800000001,35.68,Single Family Residence / Townhouse,RESIDENTIAL,1957,1192,2.0,3,149000,2018-11-02,Resale,49667,125
